Id,Occurrences
"Nimzo-Indian: Normal, Gligoric System, Exchange at c4",1
Grünfeld: Counterthrust,1
"Indian: King's Indian, Fianchetto",3
Indian: West Indian,30
"KID: Fianchetto, Immediate Fianchetto",6
"KID: Normal, King's Knight",13
Neo-Grünfeld: Non- or Delayed Fianchetto,1
KID,18
"KID: Semi-Classical, Queenside Storm Line",1
"KID: Fianchetto, Karlsbad",2
"KID: Fianchetto, Larsen",1
"KID: Fianchetto, Lesser Simagin (Spassky)",2
"KID: Fianchetto, Panno",1
"KID: Fianchetto, Classical Fianchetto",1
"KID: Fianchetto, Debrecen",1
"KID: Fianchetto, Classical",1
"KID: Fianchetto, Classical Main Line",1
KID: Normal,17
KID: Averbakh,1
"KID: Averbakh, Modern",1
"KID: Normal, Standard Development",5
KID: Semi-Averbakh System,3
"KID: Four Pawns Attack, Dynamic Attack",1
KID: Sämisch,5
"KID: Sämisch, Normal",5
"KID: Sämisch, Sämisch Gambit",2
"KID: Sämisch, Panno Formation",1
"KID: Sämisch, Yates",1
"KID: Sämisch, Panno Main Line",1
"KID: Sämisch, Orthodox",1
"KID: Normal, Rares",6
KID: Orthodox,9
"KID: Orthodox, Aronin-Taimanov",3
"KID: Orthodox, Bayonet Attack",1
"KID: Orthodox, Classical System",1
Start,1
